17.94117647,5,9,-1,7,-1,11,11,19,-1,3,12,-1,21,18,25,6,7,11,18,20,26,30,32,31,-1,-1,10,24,27,34,33,33,33,34,-1,-1,8,30,33,34,34,33,33,32,-1,-1,30,33,32,32,32,32,-1,-1,23,30,32,31,30,30,-1,6,-1,26,24,26,-1,-1
20.11764706,25,26,29,30,26,25,20,12,27,29,29,-1,-1,-1,4,16,28,29,25,-1,-1,21,10,10,26,25,27,0,8,31,31,32,29,21,15,12,9,27,17,31,33,32,29,28,0,11,19,20,26,29,29,28,13,19,14,20,26,25,26,25,14,17,19,16,23,25,19,26
25.82352941,-1,-1,14,-1,4,-1,3,26,21,-1,14,30,31,31,32,31,-1,-1,25,33,32,33,32,32,20,1,0,32,33,33,34,34,32,33,27,31,32,32,34,33,33,34,34,36,33,32,34,34,34,34,35,33,27,31,32,32,32,33,34,32,29,30,30,30,32,32,27,29
3.485294118,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,11,6,10,21,-1,-1,-1,-1,-1,24,22,24,28,29,-1,-1,-1,-1,-1,23,26,30,-1,-1,-1,-1,-1,-1,5,11,-1,-1,-1,-1,-1,-1,-1,-1
22.07352941,-1,-1,-1,-1,-1,-1,-1,-1,21,5,-1,-1,-1,7,-1,-1,16,15,-1,4,30,32,31,30,22,24,5,5,14,33,34,34,31,32,31,31,31,33,35,34,34,34,32,33,31,32,33,34,34,34,32,32,32,31,31,32,32,32,31,32,30,30,31,32,31,30,30,33
29.42647059,30,29,27,30,32,30,29,29,29,27,30,32,30,30,30,29,31,30,32,32,30,31,31,30,30,30,29,30,30,29,30,31,31,30,8,19,28,31,29,32,31,32,32,32,27,30,31,32,31,32,31,32,24,29,30,30,32,31,32,32,25,25,28,31,31,29,29,23
27.20588235,25,20,29,23,18,0,7,11,27,25,16,20,7,20,14,12,28,19,22,29,26,29,29,28,27,29,30,29,26,27,31,32,32,35,30,30,33,34,33,32,32,32,33,29,27,32,33,31,31,32,34,29,33,32,27,27,34,33,33,32,34,29,32,32,33,32,28,30
24,19,0,21,-1,-1,-1,-1,-1,9,0,-1,-1,-1,-1,-1,-1,-1,1,5,8,12,32,17,-1,36,33,34,33,37,35,37,35,33,29,33,35,35,37,36,37,37,37,34,34,34,35,37,35,36,36,35,35,34,34,35,35,36,35,34,32,34,35,33,34,35,32,31,32
14.41176471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,15,0,-1,0,0,-1,-1,22,27,29,32,30,31,32,32,31,0,26,29,33,32,31,35,33,32,25,31,30,30,31,33,32,32,23,28,29,29,30,30,28,29
32.14705882,30,29,31,32,30,29,32,30,32,31,32,32,32,33,33,31,31,32,33,34,33,33,31,33,32,31,32,34,36,36,34,32,32,30,30,32,33,34,35,34,34,32,31,30,34,35,34,34,34,33,32,30,31,32,32,32,32,32,33,31,32,30,30,31,33,34,31,31
2.382352941,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,26,25,22,9,-1,-1,-1,-1,-1,30,25,22,9,7,-1,-1,-1,-1,-1,5,11,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
24.83823529,30,31,32,32,34,32,33,29,30,33,33,34,33,33,32,32,31,33,34,35,35,35,34,34,33,32,34,34,35,33,36,36,33,33,30,23,5,24,32,34,35,34,33,32,-1,-1,9,28,31,34,32,32,-1,-1,-1,10,26,27,29,27,-1,-1,-1,-1,10,0,-1,-1
